block,street_name,lat,long,town
501,BEDOK NTH ST 3,1.33164071248976,103.931167665142,BEDOK
502,BEDOK NTH ST 3,1.33124506219201,103.93124429384599,BEDOK
503,BEDOK NTH ST 3,1.3316063208131699,103.93203236910999,BEDOK
504,BEDOK NTH ST 3,1.3320527480886102,103.93195933179199,BEDOK
2,BEDOK STH AVE 1,1.3213011879354801,103.933299574181,BEDOK
20,CHAI CHEE RD,1.3262727124323401,103.922885287154,BEDOK
21,CHAI CHEE RD,1.3264735546242,103.92228378555099,BEDOK
59,CHAI CHEE RD,1.3248891628835502,103.920246728829,BEDOK
58,CHAI CHEE DR,1.32591889491421,103.919756859417,BEDOK
55,CHAI CHEE DR,1.32684846948334,103.919015573079,BEDOK
22,BEDOK STH AVE 1,1.32283173654724,103.93285216608801,BEDOK
105,BEDOK NTH AVE 4,1.33372280929002,103.936517719048,BEDOK
104,BEDOK NTH AVE 4,1.3332985212474098,103.936601473643,BEDOK
107,BEDOK NTH RD,1.33231740745784,103.936301267285,BEDOK
110,BEDOK NTH RD,1.33247206352436,103.934860475522,BEDOK
69,BEDOK STH AVE 3,1.3193502636052599,103.94363236019501,BEDOK
33,BEDOK STH AVE 2,1.32323469343761,103.93922139391898,BEDOK
46,BEDOK STH AVE 3,1.32252861118061,103.94266640871,BEDOK
117,BEDOK NTH RD,1.3306545476952298,103.938496275607,BEDOK
116,BEDOK NTH RD,1.3309952263902198,103.937244039582,BEDOK
115,BEDOK NTH RD,1.3315523723306297,103.937536279027,BEDOK
125,BEDOK NTH RD,1.3288432152424299,103.939123687022,BEDOK
124,BEDOK NTH RD,1.32925881944575,103.93904643032101,BEDOK
128,BEDOK NTH ST 2,1.32774023645101,103.93900569696301,BEDOK
129,BEDOK NTH ST 2,1.3275544319219599,103.938030484223,BEDOK
138,BEDOK NTH ST 2,1.3300101118899998,103.936343483972,BEDOK
87,BEDOK NTH ST 4,1.33250261426448,103.93858712542101,BEDOK
100,BEDOK NTH AVE 4,1.33435593400813,103.939032711241,BEDOK
412,BEDOK NTH AVE 2,1.3289201688066299,103.931610476654,BEDOK
402,BEDOK NTH AVE 3,1.33055472908634,103.933686723902,BEDOK
401,BEDOK NTH AVE 3,1.33098173461879,103.933604621756,BEDOK
425,BEDOK NTH RD,1.329014088024,103.928809994326,BEDOK
416,BEDOK NTH AVE 2,1.32840382815915,103.93068487034701,BEDOK
418,BEDOK NTH AVE 2,1.32856421177175,103.930036524233,BEDOK
424,BEDOK NTH AVE 1,1.32842001017399,103.927482674529,BEDOK
419,BEDOK NTH ST 1,1.3269662141745802,103.92813577162501,BEDOK
136,BEDOK NTH AVE 3,1.3278347391635499,103.935211634841,BEDOK
529,BEDOK NTH ST 3,1.3342694614427801,103.926542284602,BEDOK
510,BEDOK NTH ST 3,1.3321231329191998,103.93105149636999,BEDOK
525,BEDOK NTH ST 3,1.3346011394176103,103.92944527163799,BEDOK
202,BEDOK NTH ST 1,1.32565628436985,103.92799097538901,BEDOK
218,BEDOK NTH ST 1,1.32749295541458,103.934249434214,BEDOK
213,BEDOK NTH ST 1,1.32635298072478,103.932637214105,BEDOK
532,BEDOK NTH ST 3,1.3341917391788,103.92538660061301,BEDOK
533,BEDOK NTH ST 3,1.3335801624827701,103.92421866691,BEDOK
536,BEDOK NTH ST 3,1.33354118946053,103.92319077443199,BEDOK
537,BEDOK NTH ST 3,1.33177300757052,103.92423646123699,BEDOK
44,CHAI CHEE ST,1.32901430131172,103.925667777871,BEDOK
540,BEDOK NTH ST 3,1.3311297292009698,103.922092625931,BEDOK
702,BEDOK RESERVOIR RD,1.33723650407656,103.918924437798,BEDOK
615,BEDOK RESERVOIR RD,1.33224981185033,103.91586871197799,BEDOK
712,BEDOK RESERVOIR RD,1.33590729186165,103.922634043137,BEDOK
50,CHAI CHEE ST,1.3293043141653798,103.922415807329,BEDOK
54,CHAI CHEE ST,1.32947840879763,103.92110511192101,BEDOK
606,BEDOK RESERVOIR RD,1.33122227931302,103.913799873642,BEDOK
616,BEDOK RESERVOIR RD,1.33190396095582,103.915137759126,BEDOK
15,BEDOK STH RD,1.31789091823444,103.946338598685,BEDOK
34,BEDOK STH AVE 2,1.32229280145281,103.93825171741501,BEDOK
36,BEDOK STH AVE 2,1.32163299655187,103.938441289401,BEDOK
35,BEDOK STH AVE 2,1.32260015341751,103.93979270295799,BEDOK
