resale_price,floor_area_sqm,price_per_sqm,storey_range,,region,storey,no_4_s,no_8_s,unit,no_4_u,no_8_,total_4,total_8
490000,130,3769.230769,10 TO 12,501,OCR,11,0,0,501,0,0,0,0
458000,84,5452.380952,04 TO 06,154,RCR,5,0,0,154,1,0,1,0
320000,90,3555.555556,04 TO 06,478,OCR,5,0,0,478,1,1,1,1
300000,67,4477.61194,04 TO 06,375,OCR,5,0,0,375,0,0,0,0
472888,97,4875.134021,13 TO 15,614,OCR,14,1,0,614,1,0,2,0
303000,84,3607.142857,07 TO 09,53,OCR,8,0,1,53,0,0,0,1
406000,101,4019.80198,10 TO 12,923,OCR,11,0,0,923,0,0,0,0
385000,68,5661.764706,04 TO 06,527,OCR,5,0,0,527,0,0,0,0
272000,67,4059.701493,01 TO 03,221,OCR,2,0,0,221,0,0,0,0
249000,67,3716.41791,07 TO 09,525,OCR,8,0,1,525,0,0,0,1
240000,64,3750,04 TO 06,114,OCR,5,0,0,114,1,0,1,0
718888,91,7899.868132,37 TO 39,420,OCR,38,0,1,420,1,0,1,1
311000,84,3702.380952,07 TO 09,337,OCR,8,0,1,337,0,0,0,1
405000,90,4500,01 TO 03,673,OCR,2,0,0,673,0,0,0,0
390000,108,3611.111111,04 TO 06,323,OCR,5,0,0,323,0,0,0,0
760000,100,7600,13 TO 15,121,RCR,14,1,0,121,0,0,1,0
406000,93,4365.591398,01 TO 03,619,OCR,2,0,0,619,0,0,0,0
475000,90,5277.777778,13 TO 15,269,OCR,14,1,0,269,0,0,1,0
400000,95,4210.526316,01 TO 03,212,OCR,2,0,0,212,0,0,0,0
385000,100,3850,10 TO 12,113,OCR,11,0,0,113,0,0,0,0
465000,121,3842.975207,01 TO 03,290,OCR,2,0,0,290,0,0,0,0
405000,110,3681.818182,10 TO 12,183,OCR,11,0,0,183,0,1,0,1
488000,92,5304.347826,01 TO 03,281,OCR,2,0,0,281,0,1,0,1
365000,105,3476.190476,07 TO 09,531,OCR,8,0,1,531,0,0,0,1
520000,120,4333.333333,07 TO 09,171,OCR,8,0,1,171,0,0,0,1
270000,46,5869.565217,13 TO 15,209,OCR,14,1,0,209,0,0,1,0
300000,92,3260.869565,01 TO 03,627,OCR,2,0,0,627,0,0,0,0
415000,121,3429.752066,07 TO 09,320,OCR,8,0,1,320,0,0,0,1
330000,66,5000,04 TO 06,109,OCR,5,0,0,109,0,0,0,0
400000,114,3508.77193,04 TO 06,685,OCR,5,0,0,685,0,1,0,1
449988,108,4166.555556,07 TO 09,166,OCR,8,0,1,166,0,0,0,1
285000,92,3097.826087,01 TO 03,786,OCR,2,0,0,786,0,1,0,1
472000,62,7612.903226,04 TO 06,520,OCR,5,0,0,520,0,0,0,0
495000,120,4125,13 TO 15,930,OCR,14,1,0,930,0,0,1,0
220000,56,3928.571429,01 TO 03,58,OCR,2,0,0,58,0,1,0,1
340000,101,3366.336634,07 TO 09,787,OCR,8,0,1,787,0,1,0,2
428888,110,3898.981818,13 TO 15,648,OCR,14,1,0,648,1,1,2,1
250000,67,3731.343284,10 TO 12,110,OCR,11,0,0,110,0,0,0,0
520000,136,3823.529412,13 TO 15,336,OCR,14,1,0,336,0,0,1,0
400000,101,3960.39604,16 TO 18,536,OCR,17,0,0,536,0,0,0,0
500000,60,8333.333333,16 TO 18,12,RCR,17,0,0,12,0,0,0,0
595000,104,5721.153846,01 TO 03,1,CCR,2,0,0,1,0,0,0,0
328000,69,4753.623188,13 TO 15,157,RCR,14,1,0,157,0,0,1,0
578000,100,5780,10 TO 12,17,RCR,11,0,0,17,0,0,0,0
321000,68,4720.588235,04 TO 06,211,OCR,5,0,0,211,0,0,0,0
480000,110,4363.636364,07 TO 09,978,OCR,8,0,1,978,0,1,0,2
242000,64,3781.25,01 TO 03,102,RCR,2,0,0,102,0,0,0,0
610000,145,4206.896552,04 TO 06,827,OCR,5,0,0,827,0,1,0,1
465000,141,3297.87234,04 TO 06,303,OCR,5,0,0,303,0,0,0,0
460000,88,5227.272727,04 TO 06,129,RCR,5,0,0,129,0,0,0,0
638000,115,5547.826087,13 TO 15,769,OCR,14,1,0,769,0,0,1,0
470000,123,3821.138211,07 TO 09,549,OCR,8,0,1,549,1,0,1,1
515000,126,4087.301587,01 TO 03,273,OCR,2,0,0,273,0,0,0,0
340000,101,3366.336634,10 TO 12,485,OCR,11,0,0,485,1,1,1,1
335000,59,5677.966102,04 TO 06,31,RCR,5,0,0,31,0,0,0,0
233000,59,3949.152542,04 TO 06,74,OCR,5,0,0,74,1,0,1,0
380000,90,4222.222222,19 TO 21,64,OCR,20,0,0,64,1,0,1,0
255000,59,4322.033898,04 TO 06,24,OCR,5,0,0,24,1,0,1,0
275000,68,4044.117647,01 TO 03,3,OCR,2,0,0,3,0,0,0,0
355888,106,3357.433962,07 TO 09,679,OCR,8,0,1,679,0,0,0,1
230000,46,5000,07 TO 09,990,OCR,8,0,1,990,0,0,0,1
568000,103,5514.563107,04 TO 06,455,RCR,5,0,0,455,1,0,1,0
670000,113,5929.20354,10 TO 12,528,OCR,11,0,0,528,0,1,0,1
300000,67,4477.61194,07 TO 09,343,OCR,8,0,1,343,1,0,1,1
423000,112,3776.785714,07 TO 09,257,OCR,8,0,1,257,0,0,0,1
666000,113,5893.80531,10 TO 12,528,OCR,11,0,0,528,0,1,0,1
418000,111,3765.765766,04 TO 06,357,OCR,5,0,0,357,0,0,0,0
390000,112,3482.142857,13 TO 15,271,OCR,14,1,0,271,0,0,1,0
690000,146,4726.027397,10 TO 12,894,OCR,11,0,0,894,1,1,1,1
311000,100,3110,07 TO 09,446,OCR,8,0,1,446,2,0,2,1
589000,69,8536.231884,10 TO 12,54,RCR,11,0,0,54,1,0,1,0
485000,110,4409.090909,01 TO 03,268,OCR,2,0,0,268,0,1,0,1
955000,120,7958.333333,10 TO 12,273,RCR,11,0,0,273,0,0,0,0
405000,113,3584.070796,10 TO 12,112,OCR,11,0,0,112,0,0,0,0
370000,72,5138.888889,16 TO 18,160,RCR,17,0,0,160,0,0,0,0
342000,79,4329.113924,07 TO 09,267,OCR,8,0,1,267,0,0,0,1
255000,67,3805.970149,16 TO 18,17,OCR,17,0,0,17,0,0,0,0
782000,109,7174.311927,01 TO 03,7,RCR,2,0,0,7,0,0,0,0
306000,59,5186.440678,10 TO 12,30,RCR,11,0,0,30,0,0,0,0
763000,95,8031.578947,16 TO 18,80,RCR,17,0,0,80,0,1,0,1
360000,94,3829.787234,07 TO 09,299,OCR,8,0,1,299,0,0,0,1
415000,59,7033.898305,04 TO 06,4,CCR,5,0,0,4,1,0,1,0
428000,133,3218.045113,07 TO 09,404,OCR,8,0,1,404,2,0,2,1
328000,65,5046.153846,04 TO 06,4,OCR,5,0,0,4,1,0,1,0
246000,91,2703.296703,04 TO 06,205,OCR,5,0,0,205,0,0,0,0
420000,102,4117.647059,01 TO 03,165,OCR,2,0,0,165,0,0,0,0
508000,92,5521.73913,16 TO 18,265,OCR,17,0,0,265,0,0,0,0
260000,65,4000,10 TO 12,205,OCR,11,0,0,205,0,0,0,0
410000,110,3727.272727,07 TO 09,173,OCR,8,0,1,173,0,0,0,1
308000,84,3666.666667,01 TO 03,693,OCR,2,0,0,693,0,0,0,0
310000,67,4626.865672,04 TO 06,741,OCR,5,0,0,741,1,0,1,0
280000,84,3333.333333,01 TO 03,425,OCR,2,0,0,425,1,0,1,0
303000,67,4522.38806,07 TO 09,102,OCR,8,0,1,102,0,0,0,1
337000,74,4554.054054,04 TO 06,885,OCR,5,0,0,885,0,2,0,2
345000,102,3382.352941,04 TO 06,724,OCR,5,0,0,724,1,0,1,0
465000,111,4189.189189,04 TO 06,652,OCR,5,0,0,652,0,0,0,0
335000,95,3526.315789,04 TO 06,536,OCR,5,0,0,536,0,0,0,0
325000,104,3125,01 TO 03,203,OCR,2,0,0,203,0,0,0,0
393000,122,3221.311475,01 TO 03,120,OCR,2,0,0,120,0,0,0,0
550000,113,4867.256637,07 TO 09,440,OCR,8,0,1,440,2,0,2,1
272000,68,4000,07 TO 09,408,OCR,8,0,1,408,1,1,1,2
638000,146,4369.863014,10 TO 12,606,OCR,11,0,0,606,0,0,0,0
368000,95,3873.684211,10 TO 12,161,OCR,11,0,0,161,0,0,0,0
530000,146,3630.136986,04 TO 06,206,OCR,5,0,0,206,0,0,0,0
415000,119,3487.394958,07 TO 09,701,OCR,8,0,1,701,0,0,0,1
425000,104,4086.538462,07 TO 09,277,OCR,8,0,1,277,0,0,0,1
405000,122,3319.672131,07 TO 09,629,OCR,8,0,1,629,0,0,0,1
560000,146,3835.616438,04 TO 06,120,OCR,5,0,0,120,0,0,0,0
258000,65,3969.230769,07 TO 09,2,OCR,8,0,1,2,0,0,0,1
