Busstop_no.,Latitude,Longitude
14139,1.268635277,103.8154695
14141,1.265524215,103.8221133
14151,1.269647659,103.8129359
14159,1.269940464,103.8131542
14161,1.270758665,103.8100991
14169,1.271185504,103.8094181
14171,1.271459598,103.8065486
14179,1.271884546,103.8063
14189,1.272693033,103.8039836
14191,1.281218333,103.8121144
14199,1.281316767,103.8127506
14201,1.281673073,103.8091468
14209,1.281763977,103.8095887
14211,1.281611684,103.8052188
14219,1.282186479,103.8068496
14221,1.273593322,103.8289337
14229,1.273706702,103.8285789
14231,1.27101,103.8266722
14239,1.271781382,103.8271424
14241,1.279143531,103.8168725
14249,1.279474057,103.8173299
14259,1.277845011,103.8186582
14269,1.277584806,103.8199945
14271,1.275681943,103.8191485
14279,1.275915523,103.8192089
14281,1.276996716,103.8180438
14291,1.274684408,103.8213265
14299,1.274888204,103.8212713
14309,1.271289,103.8230259
14319,1.273406852,103.8207183
14329,1.274349615,103.8094537
14331,1.276946111,103.8110681
14339,1.276660655,103.811245
14341,1.275933889,103.8134739
14349,1.275790298,103.8133981
14351,1.27275,103.8103611
14359,1.272890556,103.8103503
14369,1.281536358,103.8036593
14379,1.272438333,103.8237936
14381,1.274130142,103.8255429
14389,1.274281605,103.825009
14391,1.27791,103.8085861
14399,1.27763662,103.8085855
14471,1.282011691,103.8066498
14489,1.272185207,103.8217011
14491,1.272788056,103.8079489
14499,1.272913056,103.8078211
14501,1.276872161,103.8064808
14509,1.275651706,103.8068055
14519,1.253521934,103.8257032
14521,1.253596445,103.8204249
14529,1.253226302,103.8212167
14539,1.25142693,103.8185442
15041,1.274633223,103.8018928
15049,1.274590541,103.8021634
15051,1.276977342,103.8023822
15059,1.276861944,103.8027011
15071,1.281424722,103.7870142
15079,1.280778937,103.7868278
15091,1.28290732,103.7878111
15099,1.283056201,103.7878935
15101,1.286176111,103.7856208
15109,1.285919709,103.7858107
15111,1.286762778,103.7848417
15119,1.287038027,103.7850111
15121,1.288941421,103.7837304
15129,1.289164678,103.7840187
15131,1.292543437,103.784489
15139,1.29241,103.784585
15141,1.272758605,103.8009595
15149,1.273418719,103.8005555
15151,1.273891929,103.7982221
15159,1.274263038,103.7983935
15161,1.274438062,103.7966606
15169,1.274814993,103.7967399
15181,1.291084964,103.7854136
15189,1.290797795,103.7855026
15191,1.27581227,103.7926357
15199,1.276042409,103.793184
15201,1.276808191,103.7897086
15209,1.277065619,103.7902343
15211,1.277924421,103.7864281
15219,1.278181141,103.7870103
15221,1.279499235,103.7854896
15229,1.27937639,103.7857273
16009,1.294253411,103.7698832
16011,1.282777664,103.7818693
16019,1.282780786,103.7821761
16021,1.286257931,103.7798103
16029,1.286084722,103.7802214
16031,1.28800629,103.7784648
16039,1.287990202,103.7787203
16041,1.289308651,103.776601
16049,1.289106964,103.7773895
16051,1.290148616,103.7742604
16059,1.289672662,103.7759414
16061,1.290676724,103.7730442
16069,1.290645314,103.7736996
16071,1.291299408,103.7711722
16079,1.291382649,103.7712984
16081,1.291957778,103.7686614
16089,1.292011383,103.7690842
16091,1.29927474,103.7793712
16099,1.3006125,103.7781514
16101,1.289238319,103.7796924
16109,1.289111693,103.7795084
16111,1.28700982,103.7828311
16119,1.286976507,103.7826055
16121,1.2865113,103.7834514
16131,1.294876391,103.769352
16139,1.295379444,103.7697486
16141,1.297868335,103.7695952
16149,1.297818334,103.7699403
16151,1.300761389,103.7699356
16159,1.300603334,103.7701703
16161,1.301075,103.7736942
16169,1.300983333,103.7727042
16171,1.298901502,103.7743823
16179,1.298981642,103.7741773
16181,1.29658476,103.772552
16189,1.297361,103.772848
16191,1.296143074,103.7703702
16199,1.296393036,103.7707292
16201,1.281300632,103.7841076
16209,1.281590928,103.7840065
16211,1.279418611,103.7835758
16219,1.280158333,103.7836236
16221,1.282975855,103.7811842
16229,1.283009073,103.7815996
16231,1.286359473,103.7785293
16239,1.286435278,103.7789344
16241,1.289103056,103.7735261
16249,1.289282771,103.7740068
16891,1.309821867,103.7681614
16991,1.307779298,103.7698858
17009,1.314915729,103.7641223
17011,1.293869008,103.7668819
17019,1.293797479,103.7670518
17021,1.296737026,103.766912
17029,1.296945701,103.767103
17031,1.301723058,103.7656763
17039,1.301531646,103.7660643
17041,1.304210157,103.7645595
17049,1.304706382,103.7645982
17051,1.3172641,103.7624015
17059,1.316943333,103.7617011
17061,1.307758348,103.7618051
17069,1.307766372,103.7621407
17071,1.308917819,103.7604443
17079,1.309683042,103.7599936
17081,1.299503056,103.7645789
17091,1.309048052,103.7715778
17099,1.30783047,103.7716527
17101,1.314874732,103.771792
17109,1.315527141,103.7721831
17111,1.317798098,103.7712464
17119,1.31728447,103.7719327
17121,1.304764103,103.7694454
17129,1.305141367,103.7698584
17131,1.308176944,103.7660121
17139,1.309033047,103.76587
17141,1.310995,103.7635
17149,1.311715151,103.7634618
17151,1.311695194,103.7696099
17159,1.311974799,103.7698156
17161,1.312409936,103.7668548
17169,1.312845278,103.7667967
17171,1.314973993,103.765027
17179,1.315281916,103.76536
17181,1.317495708,103.7638855
17189,1.317905022,103.7640641
17191,1.305669926,103.7698949
17201,1.320557151,103.7673489
17211,1.318288061,103.7658972
17219,1.3182,103.7661586
17221,1.317356313,103.7679002
17229,1.317284025,103.7682421
17239,1.312437595,103.7658489
17241,1.315191148,103.769055
17249,1.31517063,103.769341
17251,1.311478696,103.7674435
17259,1.310927982,103.7674607
17269,1.305135632,103.7627418
17279,1.302924943,103.7631929
17289,1.302324942,103.7647147
17291,1.290351405,103.7696983
17299,1.290605556,103.7700506
17301,1.294953611,103.7651669
17309,1.295370833,103.7652456
17311,1.301016986,103.7622944
17319,1.301839156,103.7622997
17321,1.304834167,103.7603536
17329,1.305050556,103.7605839
17331,1.307588333,103.7583311
17339,1.307857222,103.7585047
17351,1.29358,103.7657644
17359,1.293337222,103.7662175
17361,1.2985975,103.7634625
17369,1.298405833,103.7638686
17371,1.320581947,103.7635659
17379,1.320490892,103.7638943
17381,1.299076389,103.7668644
17389,1.299081389,103.7670019
18011,1.280870897,103.8021033
18019,1.280910556,103.8025231
18021,1.296452977,103.7889243
18029,1.296098115,103.7891805
18041,1.288360253,103.793174
18049,1.290349989,103.7918937
18051,1.29863776,103.7873442
18059,1.298491389,103.7872067
18061,1.296715889,103.7873805
18069,1.296490641,103.7875521
18071,1.295426296,103.7844923
18079,1.296481774,103.7845539
18081,1.294785193,103.7873375
18089,1.294806759,103.7875736
18099,1.293931694,103.7895362
18101,1.292825641,103.7863545
18109,1.294034366,103.786726
18111,1.300593056,103.7844842
18119,1.300046389,103.7846675
18121,1.29751168,103.7854209
18129,1.297762254,103.7857077
18131,1.289500735,103.7918328
18141,1.304182797,103.7878809
18149,1.302530011,103.7872414
18151,1.300510831,103.7886429
18159,1.300346899,103.7885837
18171,1.299054786,103.7941291
18179,1.299881075,103.7930455
18181,1.297145853,103.7936936
18189,1.29839663,103.7939032
18191,1.294313104,103.7958906
18199,1.295443428,103.7940762
18201,1.294980987,103.7932288
18211,1.291618169,103.7952226
18221,1.296300678,103.7834655
18239,1.296789434,103.7831878
18241,1.290923045,103.7870786
18249,1.290724,103.787127
18251,1.290681389,103.7884536
18261,1.290159968,103.7893381
18269,1.290103333,103.7891869
18271,1.288407,103.7899278
18279,1.288406368,103.7897662
18281,1.287525569,103.7912122
18289,1.287381057,103.791206
18301,1.297385215,103.780927
18309,1.297520117,103.781342
18311,1.297438148,103.7779213
18319,1.297526389,103.7781311
18321,1.298793333,103.7756192
18329,1.298924444,103.7761142
18331,1.29370722,103.7848914
18339,1.293793029,103.7850791
19011,1.307816389,103.7842367
19019,1.308073056,103.7847592
19021,1.309654902,103.7812018
19029,1.30956092,103.7820188
19031,1.311234167,103.7783836
19039,1.311679511,103.7786839
19041,1.312359722,103.7755275
19049,1.312663022,103.7747922
19051,1.308964444,103.7739233
19059,1.308945,103.7727225
19061,1.307524427,103.7778212
19069,1.307787583,103.7767117
19071,1.305155,103.7810831
19079,1.306103056,103.7801297
19081,1.302569722,103.7828247
19089,1.303703056,103.7818439
19091,1.307392778,103.7820822
19099,1.30697118,103.7819124
20011,1.313086246,103.7612873
20019,1.313576111,103.7615108
20021,1.316759237,103.7578896
20029,1.317728339,103.7576799
20031,1.320559871,103.7546468
20039,1.321024998,103.7547151
20051,1.322587082,103.7475443
20059,1.323321088,103.7476935
20061,1.323806141,103.7429857
20069,1.324056365,103.7441879
20081,1.326604729,103.7387923
20089,1.327029677,103.739223
20101,1.319937142,103.7622193
20109,1.320852201,103.76207
20121,1.320239722,103.73708
20129,1.32034555,103.7375411
20131,1.315593616,103.7518512
20139,1.315841669,103.7520438
20141,1.317719998,103.7487711
20149,1.317959697,103.7489727
20151,1.318296687,103.7463105
20159,1.318511375,103.7464017
20161,1.319154766,103.742137
20169,1.319283478,103.7425125
20171,1.319676814,103.7398443
20179,1.32000212,103.7391007
20181,1.320484789,103.7474585
20189,1.320305014,103.747273
20191,1.319241667,103.7484564
20199,1.319081111,103.7481997
20201,1.321276111,103.7434053
20209,1.320433333,103.7440744
20211,1.321771939,103.74184
20219,1.3220569,103.7414333
20231,1.322344073,103.739444
20239,1.322468796,103.7394701
20241,1.321162775,103.7363836
20249,1.32162,103.7367036
20251,1.31975501,103.744471
20259,1.319621876,103.74477
20261,1.321599731,103.7454642
20269,1.321517806,103.7458094
20271,1.325275533,103.7455089
20281,1.312342195,103.7548421
20289,1.312488018,103.7550342
20291,1.310950623,103.7577143
20299,1.310928042,103.7585754
20309,1.310623031,103.7540377
20319,1.312594685,103.7528442
20329,1.315033046,103.7510207
20331,1.313291389,103.7492633
20341,1.311864722,103.7504733
21011,1.325343288,103.7286685
