,hdb_lat,hdb_long,pri_sch_dist,pri_sch_count,sec_sch_dist,sec_sch_count,mall_dist,mall_count,MRT_dist,MRT_count,bus_stop_dist,bus_stop_count
18,1.382200246,103.8412103,272.6646219,1,201.4325664,2,1252.621899,0,418.3954265,1,109.0628548,16
19,1.369563443,103.8446989,631.7651792,0,337.5747373,1,298.2987628,2,541.8028802,0,91.9336455,14
20,1.370654871,103.8346302,520.4402076,0,271.6075203,1,1270.333632,0,1662.698401,0,30.92192962,13
21,1.368309970,103.8536003,443.3824214,2,213.6099473,1,582.4078966,0,484.8084498,1,160.4256263,15
22,1.369196966,103.8416666,292.3832293,1,228.2607125,1,567.0328942,0,881.4835986,0,59.51901592,9
23,1.370713080,103.8534978,228.5775334,1,410.7396116,2,577.5036256,0,447.3438102,1,83.2631804,17
24,1.373295936,103.8354757,611.1824819,0,548.3221679,0,1177.941225,0,1409.036353,0,255.7243202,12
25,1.361342556,103.8516986,297.2178504,2,664.5132304,0,959.2359336,0,979.4448862,0,74.38856686,13
26,1.370615176,103.8359677,381.278692,1,258.6703003,1,1123.100614,0,1513.814277,0,63.78333208,15
27,1.362431864,103.8510307,306.156193,2,552.7977704,0,820.0864801,0,845.5910068,0,83.94661998,10
28,1.371625702,103.8577361,660.0407151,0,759.0891507,0,1059.577046,0,929.6566319,0,113.8384298,15
29,1.367089832,103.8456602,633.2854705,0,341.8173525,1,403.7112233,1,535.3299483,0,192.3229903,12
30,1.371388551,103.8559533,464.3345181,1,594.1088694,0,860.7837857,0,730.1747505,0,86.53845562,16
31,1.374000865,103.8501398,298.2210644,1,146.041923,1,516.7741656,0,454.4924321,1,72.84256221,13
32,1.363143927,103.8581186,534.948376,0,830.323529,0,1275.919657,0,1213.325395,0,208.0933985,7
33,1.362662978,103.8565159,363.2624619,1,726.6884743,0,1163.331751,0,1116.522248,0,68.00300942,13
34,1.380104750,103.8404087,511.9322929,0,256.4306133,2,1095.148096,0,536.7238658,0,87.54183286,19
35,1.373651239,103.8570222,611.6638219,0,625.7641535,0,1061.245396,0,927.2947933,0,43.09433455,13
36,1.371015364,103.8418003,373.4925301,1,413.9906141,1,475.4958902,1,871.0952771,0,150.6494363,8
37,1.370203440,103.8346877,499.8559155,1,222.6369739,1,1270.53995,0,1654.65325,0,77.34160311,13
38,1.364098079,103.8566942,498.551679,1,639.9098547,0,1085.526446,0,1023.62591,0,157.2926622,9
39,1.366947935,103.8574876,743.9359937,0,619.3925619,0,1038.363067,0,942.6540977,0,115.9684614,10
40,1.365820895,103.8428478,557.0244351,0,172.2903993,1,740.4582651,0,873.8852281,0,64.78303523,10
41,1.366286428,103.8449948,682.5334427,0,291.6696475,1,517.6633816,0,648.0614451,0,90.98146487,10
42,1.379395177,103.8437636,337.9441289,1,250.9173808,2,860.6434212,0,292.2363756,1,112.1379223,17
43,1.366617937,103.8478669,385.5488057,1,459.9809734,1,313.8910533,1,411.8411204,1,246.1650753,14
44,1.371831570,103.8536710,207.0944278,1,365.0332974,1,637.9047137,0,504.0206966,0,84.75878475,20
45,1.371754007,103.8538833,231.1197701,1,387.6053804,1,655.9192522,0,522.2264878,0,76.61287248,20
46,1.370261584,103.8394679,137.7547857,1,473.8555463,2,747.3384506,0,1122.992309,0,36.55445133,9
47,1.368992878,103.8527613,337.6319211,2,203.8089222,1,478.6900158,1,371.8223142,1,139.8042574,15
48,1.373405406,103.8511342,183.4501595,1,98.20864769,1,533.4750947,0,422.3226679,1,75.38401432,19
49,1.371477831,103.8458688,621.7420332,0,582.860706,0,52.04213217,2,444.2114718,1,67.09881847,14
50,1.372076889,103.8527861,110.4009703,1,283.0224929,1,564.0767925,0,430.8222539,1,100.3132979,19
51,1.364827262,103.8438393,712.3827682,0,312.0574532,1,721.7712592,0,850.384541,0,104.7430084,10
52,1.378456616,103.8392927,487.405219,1,280.8913297,1,1035.673037,0,727.0684722,0,102.1559079,18
53,1.334484667,103.9379247,409.9666405,1,278.0620458,1,972.2181656,0,678.173924,0,151.5276388,9
54,1.331310218,103.9268539,570.4537745,0,691.1749014,0,656.9743633,0,835.5508157,0,108.4428966,20
55,1.327914779,103.9421444,653.8005382,0,275.3765335,2,624.4882483,0,471.1880458,1,228.7488558,10
56,1.332693180,103.9266174,617.5065924,0,537.0053425,0,805.9722187,0,757.9114051,0,25.36323609,16
57,1.320852087,103.9337211,566.9356027,0,336.8714193,1,461.3126815,1,543.0903795,0,171.8461383,10
58,1.335576195,103.9115458,516.0445327,0,1392.488669,0,2268.90811,0,352.21572,1,82.08061962,18
59,1.329478409,103.9211051,649.6497902,0,260.269084,1,1018.914586,0,679.4364609,0,188.6567204,10
60,1.329304314,103.9224158,680.732333,0,296.9466779,1,877.0966148,0,779.7128226,0,85.43099359,13
61,1.329144379,103.9091128,316.5532209,1,832.2242265,0,1959.37464,0,648.2170227,0,271.8945471,10
62,1.334902876,103.9278382,479.8492406,1,332.2598696,1,998.1023918,0,521.5450002,0,199.407541,14
63,1.333036982,103.9248122,470.1477795,1,529.5562036,0,938.5080389,0,786.0379392,0,49.00961838,11
64,1.328696112,103.9419956,702.7419725,0,187.4289586,1,582.2176075,0,508.9555046,0,216.86052,7
65,1.331037846,103.9086416,301.6304321,1,853.907226,0,2047.908426,0,435.0820081,1,136.9841693,11
66,1.317840249,103.9293968,670.7794295,0,693.5478765,0,755.0859738,0,681.772657,0,251.3584745,11
67,1.326043353,103.9264885,737.481062,0,640.6745881,0,346.7920978,3,448.5592339,1,197.9707221,18
